"filename", "language", "JavaScript", "JSON", "MS SQL", "HTML", "PostCSS", "comment", "blank", "total"
"d:\Web Quản Lý Học Sinh\Database.sql", "MS SQL", 0, 0, 89, 0, 0, 0, 26, 115
"d:\Web Quản Lý Học Sinh\config\db.js", "JavaScript", 23, 0, 0, 0, 0, 0, 3, 26
"d:\Web Quản Lý Học Sinh\controllers\admin.controller.js", "JavaScript", 30, 0, 0, 0, 0, 2, 4, 36
"d:\Web Quản Lý Học Sinh\controllers\auth.controller.js", "JavaScript", 105, 0, 0, 0, 0, 4, 20, 129
"d:\Web Quản Lý Học Sinh\controllers\diem.controller.js", "JavaScript", 73, 0, 0, 0, 0, 5, 13, 91
"d:\Web Quản Lý Học Sinh\controllers\giaovien.controller.js", "JavaScript", 147, 0, 0, 0, 0, 7, 38, 192
"d:\Web Quản Lý Học Sinh\controllers\hocky.controller.js", "JavaScript", 31, 0, 0, 0, 0, 2, 3, 36
"d:\Web Quản Lý Học Sinh\controllers\hocsinh.controller.js", "JavaScript", 244, 0, 0, 0, 0, 12, 33, 289
"d:\Web Quản Lý Học Sinh\controllers\lop.controller.js", "JavaScript", 104, 0, 0, 0, 0, 4, 15, 123
"d:\Web Quản Lý Học Sinh\controllers\monhoc.controller.js", "JavaScript", 72, 0, 0, 0, 0, 3, 6, 81
"d:\Web Quản Lý Học Sinh\controllers\phancong.controller.js", "JavaScript", 118, 0, 0, 0, 0, 4, 14, 136
"d:\Web Quản Lý Học Sinh\models\auth.model.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"d:\Web Quản Lý Học Sinh\models\diem.model.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 17
"d:\Web Quản Lý Học Sinh\models\giaovien.model.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 15
"d:\Web Quản Lý Học Sinh\models\hocky.model.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 12
"d:\Web Quản Lý Học Sinh\models\hocsinh.model.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 15
"d:\Web Quản Lý Học Sinh\models\lop.model.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 12
"d:\Web Quản Lý Học Sinh\models\monhoc.model.js", "JavaScript", 9, 0, 0, 0, 0, 0, 1, 10
"d:\Web Quản Lý Học Sinh\models\phancong.model.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 13
"d:\Web Quản Lý Học Sinh\package-lock.json", "JSON", 0, 2055, 0, 0, 0, 0, 1, 2056
"d:\Web Quản Lý Học Sinh\package.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 23
"d:\Web Quản Lý Học Sinh\public\admin.html", "HTML", 0, 0, 0, 78, 0, 0, 10, 88
"d:\Web Quản Lý Học Sinh\public\css\admin.css", "PostCSS", 0, 0, 0, 0, 10, 0, 2, 12
